year_month,Uncategorized
2020-02-01,0.0
2020-03-01,3000.6666666666665
2020-04-01,3067.3333333333335
2020-05-01,3134.3333333333335
2020-06-01,201.66666666666666
2020-07-01,210.0
2020-08-01,218.33333333333334
2020-09-01,226.0
2020-10-01,227.0
2020-11-01,228.0
2020-12-01,229.0
2021-01-01,230.0
2021-02-01,231.0
2021-03-01,154.33333333333334
2021-04-01,144.66666666666666
2021-05-01,145.66666666666666
2021-06-01,224.33333333333334
2021-07-01,286.0
2021-08-01,241.0
2021-09-01,196.0
2021-10-01,101.0
2021-11-01,67.66666666666667
2021-12-01,34.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.0
2022-04-01,0.0
2022-05-01,0.0
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,0.0
2022-09-01,0.0
2022-10-01,0.0
2022-11-01,0.0
2022-12-01,0.0
2023-01-01,0.0
2023-02-01,0.0
2023-03-01,0.0
2023-04-01,0.0
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,0.0
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,0.0
2024-12-01,0.0
2025-01-01,0.0
2025-02-01,0.0
2025-03-01,0.0
2025-04-01,0.0
2025-05-01,0.0
2025-06-01,0.0
